"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.496778572E0,3.959999847E1,-1.626000023E1,3.455999756E1,5.501764188E1
2.504743659E0,4.037999725E1,-1.602000046E1,3.491999817E1,5.573679992E1
2.512647712E0,4.037999725E1,-1.559999943E1,3.468000031E1,5.546716670E1
2.520582283E0,4.007999802E1,-1.559999943E1,3.473999786E1,5.528683093E1
2.528425300E0,3.977999878E1,-1.559999943E1,3.491999817E1,5.518346271E1
2.536329353E0,3.959999847E1,-1.571999931E1,3.468000031E1,5.493615093E1
2.544294441E0,3.971999741E1,-1.577999973E1,3.431999969E1,5.481376620E1
2.552259529E0,4.031999969E1,-1.583999920E1,3.407999802E1,5.511854692E1
2.560224617E0,4.073999786E1,-1.529999924E1,3.407999802E1,5.527462046E1
2.568128669E0,4.068000031E1,-1.529999924E1,3.377999878E1,5.504580564E1
2.576063240E0,4.050000000E1,-1.517999935E1,3.407999802E1,5.506476773E1
2.584028327E0,4.002000046E1,-1.523999977E1,3.425999832E1,5.484164034E1
2.591962898E0,3.947999954E1,-1.523999977E1,3.395999908E1,5.426057035E1
2.599897468E0,3.911999893E1,-1.529999924E1,3.389999771E1,5.397845994E1
2.607740486E0,3.900000000E1,-1.553999996E1,3.336000061E1,5.362258143E1
2.615644538E0,3.923999786E1,-1.542000008E1,3.318000031E1,5.365133973E1
2.623609626E0,3.900000000E1,-1.571999931E1,3.336000061E1,5.367502230E1
2.631544197E0,3.893999863E1,-1.565999985E1,3.311999893E1,5.346488023E1
2.639509284E0,3.905999756E1,-1.529999924E1,3.365999985E1,5.378446779E1
2.647382820E0,3.845999908E1,-1.511999989E1,3.402000046E1,5.352706192E1
